[1208/045601.860:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1209/055648.116:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1210/190839.744:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190839.744:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190839.744:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190839.744:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190839.744:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190839.744:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190929.599:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190929.599:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190929.599:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190929.599:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190929.607:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190929.607:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190929.607:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190929.607:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191029.820:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191029.820:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191029.820:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191029.820:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191029.820:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191029.820:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191029.820:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191029.820:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191202.643:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191202.643:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191202.643:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191202.643:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
